day,id,time,БВТ2101,БВТ2102,БВТ2103,БВТ2104,БВТ2105,БВТ2106,БВТ2107,БВТ2108
,3,13:10-14:45,,"Основы DevOps 
Никишкин К.Д.,  лаб
(с 07.02 по 22.05.2022) Ауд. 216  ","История
Кунц Е.В.  пр
 (с 23.05. по 29.05.2022) Ауд. 318",,,,"Введение в информационные технологии
Мкртчян Г.М.   пр
Авиамоторная ЗФ-301 ","Элективные дисциплины по физической культуре
Королёва С.А.  Пр"
,,,,"Элективные дисциплины по физической культуре
Королёв И.В.  Пр",,"Микропроцессорные системы
Нехорошев Ю.И.  лаб
(с 07.02 по 22.05.2022) Ауд. 314  ","Элективные дисциплины по физической культуре
Горячева Н.Н.  Пр","Физика 
Александров И.И. лаб
(с 07.02 по 22.05.2022) ауд. 342  ","Основы DevOps 
Никишкин К.Д., лаб
(с 07.02 по 22.05.2022) ауд. 219 ","Введение в информационные технологии 
Мкртчян Г.М.  лаб
Авиамоторная ауд. ЗФ-301"
,4,15:25-17:00,,,,,,,"Элективные дисциплины по физической культуре
  Корнеев Р.А.  Пр
Авиамоторная","История 
Кунц Е.В.   пр
(до 29.05.2022) ауд. 516"
,,,,,,,"Основы DevOps 
Никишкин К.Д.,  пр
 (до 22.05.2022) ауд. 324","Микропроцессорные системы
Нехорошев Ю.И.   лаб
(с 07.02 по 22.05.2022) ауд. 328","Физика
Александров И.И.  лаб
(с 07.02 по 22.05.2022) ауд. 338 ","Введение в информационные технологии 
Мкртчян Г.М.  лаб
Авиамоторная ауд. ЗФ-301"
,5,17:15-18:50,,,,,,,,"Физика 
Осичева Л.В.  пр
(до 15.05.2022)  Ауд. 330А"
,,,,,,,,"Элективные дисциплины по физической культуре
Разинков Д.В.  Пр",,
,,,,,,,,,,
СБ,1,9:30-11:05,,,"Элективные дисциплины по физической культуре
Королёв И.В.  Пр",,,,,
,,,,,"Элективные дисциплины по физической культуре
Королёв И.В.  Пр",,,,,
,2,11:20-12:55,,,"Элективные дисциплины по физической культуре
Королёв И.В.  Пр",,,,,
,,,,,,,,,,
,3,13:10-14:45,,,,,,,,
,,,,,,,,,,
,4,15:25-17:00,,,,,,,,
,,,,,,,,,,
,5,17:15-18:50,,,,,,,,
